"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
48,29,32,23,12,11
1941,1109,1264,732,5735,3177
2043,1360,2125,1309,5868,3387
215,127,167,96,333,183
262,161,185,111,177,103
163,134,123,88,132,125
30,20,17,6,11,5
1203,706,360,216,333,218
2,2,1,0,2,3
3,5,14,2,18,5
0,0,0,0,0,0
1,0,0,0,0,0
2,2,0,0,2,1
0,0,0,0,0,0
984,551,704,408,2169,1201
674,401,431,257,1265,701
609,357,711,428,752,425
0,0,0,0,10,4
0,0,0,0,0,0
0,0,0,0,0,0
2,1,3,4,1,3
0,0,0,0,0,0
553,308,345,194,236,122
26,14,69,41,52,31
0,0,0,0,1,0
19,10,86,43,432,205
0,0,0,1,0,2
176,47,133,26,497,79
28,16,4,4,5,2
1183,734,1233,790,1698,1041
990,643,954,620,2103,1238
1132,636,981,583,2178,1203
990,576,1201,681,3607,1958
646,362,1021,580,3278,1770
122,72,119,79,275,180
20,12,46,27,40,25
20571,11585,19601,11144,87737,47713
7876,4790,4361,2650,15621,8815
1208,708,742,455,2264,1313
1736,974,1297,751,3789,2097
0,0,0,1,4,3
265,162,185,114,237,139
0,0,0,0,0,0
14,13,58,40,254,164
6,3,0,1,3,2
570,348,208,123,169,105
869,543,328,205,38,24
0,0,3,1,0,1
0,2,0,5,0,11
595,287,610,322,1017,510
213,129,246,153,442,255
366,386,319,198,453,296
118,69,71,35,113,60
0,1,2,1,7,5
1146,619,1953,1116,2097,1144
268,158,222,137,284,171
744,428,314,192,1295,746
780,484,407,258,4814,2753
4,5,0,0,30,28
6,3,44,27,2,1
132,69,183,99,206,116
84,54,71,41,264,168
475,258,131,72,108,53
30,22,16,13,5,14
48,28,44,23,29,19
91,56,60,34,215,123
94,61,117,76,134,90
4632,509,14083,897,10741,614
33,21,43,24,37,33
0,0,12,9,5,8
0,0,1,1,1,1
237,116,102,56,153,83
9813,5410,20535,11515,96486,51621
11,18,24,20,117,149
2,2,5,4,8,12
66,34,84,42,47,22
91,54,82,51,60,59
10455,5744,4563,2550,4392,2379
193,118,349,193,339,190
228,132,242,140,193,155
808,442,673,385,1985,1091
4,2,6,4,6,7
498,307,129,78,138,101
230,133,39,23,49,38
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
12,7,17,8,25,11
0,0,0,0,0,0
80,65,81,66,202,177
3,3,4,2,0,0
1909,1053,1412,736,4566,2329
605,55,1442,95,12278,378
0,0,0,0,0,0
0,0,0,0,0,0
53,34,18,16,44,47
22,12,17,13,25,21
0,0,0,0,0,0
0,0,0,0,0,0
0,0,2,0,4,2
1675,964,1293,750,9914,5469
0,0,2,1,4,10
225,124,519,283,4927,2697
1893,1119,1939,1141,8640,4883
12,6,4,4,15,14
559,402,442,307,398,283
0,1,2,1,26,19
55,58,82,95,35,37
201,133,214,138,280,188
1830,1088,1606,971,1632,934
0,1,0,0,0,0
21,24,29,41,83,109
1136,720,725,436,691,404
1003,588,552,338,487,275
1397,822,1183,741,4219,2419
5079,2538,4227,2288,1814,932
0,0,0,0,0,0
0,0,0,0,0,0
106,58,130,76,736,401
0,0,0,0,0,0
660,390,1195,686,2182,1227
2,3,81,43,9,12
0,0,0,0,0,0
329,197,345,218,248,160
45,28,52,34,159,97
858,474,629,362,973,538
0,0,0,0,0,0
22,12,20,12,52,36
629,358,582,358,2032,1197
3844,2586,3619,2309,8311,4908
2,1,0,0,10,5
127,70,309,176,804,446
605,389,478,293,123,92
56,32,422,246,39,34
0,0,0,0,0,0
5,6,2,2,4,8
1509,952,1019,596,3243,1810
16,34,10,18,24,60
0,0,0,0,0,1
1,2,0,1,0,0
2,1,6,5,2,4
8,28,113,125,36,43
0,0,6,3,2,2
118,66,138,79,249,134
169,105,208,100,1692,747
2,6,20,15,261,165
0,0,0,3,0,3
305,225,294,190,1509,872
1,1,0,0,0,0
175,109,389,228,543,308
1254,716,1285,756,14066,7871
24,16,32,22,25,24
0,4,6,3,6,4
0,0,0,0,0,0
994,629,662,390,2340,1310
866,527,629,374,2448,1335
0,0,0,0,0,0
685,444,1286,870,5691,3578
0,0,0,0,0,0
1497,893,1134,646,5085,2799
64,37,31,28,96,43
84,123,119,169,129,142
167,86,110,59,95,66
201,114,314,186,245,141
0,1,0,3,44,39
474,278,1185,664,4487,2429
29,16,25,12,8,5
33,0,33,0,202,0
1594,1499,956,710,2521,1637
170,97,1023,577,240,139
156,92,41,42,49,34
0,0,0,0,0,0
195,121,322,188,205,137
2,2,0,0,10,8
0,0,0,0,0,0
95,60,6,10,14,6
67,30,36,13,48,16
0,0,0,1,3,7
0,1,0,2,22,25
48,28,111,65,70,48
84,53,50,29,5,3
33,5,10,1,96,4
0,0,0,0,0,2
93,60,45,32,113,87
2,1,5,3,4,2
164,86,199,115,493,267
4053,2575,2446,1471,14020,7893
1922,1600,503,300,323,204
0,0,0,0,0,0
2502,1442,3162,1886,10273,5754
4,6,7,6,31,49
0,2,2,8,0,14
4,3,6,6,137,44
25,14,68,49,167,115
11,20,6,11,16,17
70,38,134,67,465,229
388,232,374,242,1290,709
316,187,492,287,648,381
703,382,997,554,4325,2352
6604,4057,5797,3269,18184,9279
1351,783,1235,728,4930,2808
39,33,54,49,310,287
61,32,76,38,54,26
0,0,0,0,0,0
2,8,0,0,0,0
1758,938,1537,841,2662,1306
1047,628,2300,1334,3463,1941
1010,636,545,319,1221,703
199,30,360,18,508,69
309,198,306,184,776,449
34,19,11,11,15,9
0,0,0,0,0,0
5,8,9,5,9,11
0,0,0,0,0,0
15,10,11,19,16,11
28,0,129,0,86,0
453,266,1321,745,603,369
0,0,0,0,0,0
0,0,0,0,0,0
9,6,22,15,18,13
702,371,754,395,2227,1071
1047,576,1085,611,3071,1710
240,129,342,206,342,200
0,0,0,0,3,1
768,380,564,257,2180,784
2177,1360,1495,900,4300,2589
784,470,885,531,7789,4395
4,3,0,0,1,2
2,1,4,2,19,11
0,0,22,31,0,0
0,0,1,0,12,0
0,1,6,4,16,17
7587,4158,1566,1193,856,953
298,156,421,236,686,377
3296,1855,1398,789,2799,1579
24,21,58,38,188,134
218,313,177,132,172,141
124,132,9,14,99,115
2881,1668,3194,1881,3855,2157
178,104,350,201,1130,626
0,2,4,4,4,5
38,26,9,6,23,19
216,161,122,90,169,117
1,1,0,2,0,1
1,1,0,0,0,0
0,0,20,18,37,29
232,140,262,148,214,127
17,8,9,5,26,16
52,48,11,12,53,42
0,0,0,0,0,1
440,288,395,265,283,200
226,157,80,51,111,68
0,0,0,0,0,0
2,2,18,10,14,12
371,231,558,331,1146,638
4,2,4,3,11,8
14,8,4,4,20,13
1448,903,1162,659,5053,2806
128,71,246,142,607,346
4,3,2,6,5,8
25,15,9,14,31,19
0,3,0,3,0,0
1929,1103,830,509,2510,1423
718,378,754,419,3056,1652
616,336,335,180,433,254
4,5,2,1,13,16
0,0,0,1,8,9
4,3,16,18,6,10
73,50,104,64,140,94
175,109,217,142,423,271
257,167,801,456,970,528
0,3,4,2,2,2
267,167,80,61,156,107
461,274,739,456,5063,2822
25,15,50,27,310,170
0,0,0,0,0,0
28,14,34,20,22,16
3,1,2,2,15,18
244,164,259,162,215,134
0,0,0,0,0,0
79,44,148,88,81,60
96,61,68,39,170,93
0,0,0,0,3,2
62,41,30,26,152,90
2,1,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
223,219,229,216,445,393
0,0,0,0,0,0
0,0,0,0,0,1
46,86,74,108,107,148
228,111,137,62,171,84
0,0,1,0,0,1
561,315,160,106,382,239
0,5,7,5,7,13
1870,978,844,436,3797,1800
0,0,0,0,4,0
0,0,0,0,0,1
59,41,76,46,171,96
0,2,0,4,2,8
655,376,347,202,614,369
0,0,0,0,0,0
0,0,0,0,0,0
56,39,132,71,222,128
140,79,69,35,3,5
1549,956,2484,1453,7694,4195
2729,1497,2210,1252,3059,1695
0,0,0,0,0,0
0,0,2,1,0,0
870,477,856,489,1795,999
267,161,745,423,4524,2475
2,2,0,1,18,21
8,5,18,9,9,10
15,14,6,3,12,8
0,0,0,0,0,0
0,0,0,0,0,0
207,126,279,178,814,475
7,7,2,1,10,9
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,1
75,80,32,27,107,76
0,0,0,0,0,0
0,0,0,0,0,0
375,234,344,195,242,130
