"rank_change","symbol","rank","padj","gene"
10611,"RANBP20P",3802,0.000734032143622052,"ENSG00000259144"
3852,"ADCY4",3803,0.000734277178274261,"ENSG00000129467"
-19,"FGA",3804,0.000734342703353415,"ENSG00000171560"
-507,"AC019080.3",3805,0.000734342703353415,"ENSG00000271825"
110,"RRM2P3",3806,0.000735890893082854,"ENSG00000214018"
847,"IL1RN",3807,0.000739138317451383,"ENSG00000136689"
-2117,"AC104389.5",3808,0.000740066965034305,"ENSG00000239920"
1331,"HASPIN",3809,0.000740506470539988,"ENSG00000177602"
1288,"SKAP1",3810,0.000740722153361254,"ENSG00000141293"
600,"AC084024.1",3811,0.000742632683174971,"ENSG00000240015"
-371,"AC087752.2",3812,0.000742632683174971,"ENSG00000253528"
1518,"DCXR",3813,0.000742869608772202,"ENSG00000169738"
-148,"MTND2P28",3814,0.000742869608772202,"ENSG00000225630"
-1581,"AL162430.2",3815,0.000743070988542686,"ENSG00000236434"
693,"CHEK2",3816,0.000746000064980608,"ENSG00000183765"
949,"MIR34AHG",3817,0.000748738723247474,"ENSG00000228526"
1209,"WDFY3",3818,0.000750074381147241,"ENSG00000163625"
-1004,"MTND4LP5",3819,0.000751861312410628,"ENSG00000270350"
1299,"FDPSP3",3820,0.000752437767724541,"ENSG00000258872"
1323,"ZNF181",3821,0.000752686182592335,"ENSG00000197841"
NA,"MYL12AP1",3822,0.000752686182592335,"ENSG00000254387"
